Release_Year,Genres,Media,Total_Releases
1978,Sport,Video Game,51
1978,Talk-Show,TV Series,30
1978,Thriller,Movie,126
1978,Thriller,TV Series,6
1978,War,Movie,55
1978,War,TV Series,5
1978,Western,Movie,23
1978,Western,TV Series,2
1979,,Movie,951
1979,,TV Series,102
1979,,Video Game,17
1979,Action,Movie,392
1979,Action,TV Series,28
1979,Action,Video Game,58
1979,Adult,Movie,239
1979,Adventure,Movie,187
1979,Adventure,TV Series,46
1979,Adventure,Video Game,3
1979,Animation,Movie,32
1979,Animation,TV Series,56
1979,Biography,Movie,39
1979,Biography,TV Series,6
1979,Comedy,Movie,606
1979,Comedy,TV Series,147
1979,Crime,Movie,210
1979,Crime,TV Series,18
1979,Documentary,Movie,301
1979,Documentary,TV Series,29
1979,Drama,Movie,1243
1979,Drama,TV Series,153
1979,Family,Movie,109
1979,Family,TV Series,102
1979,Family,Video Game,11
1979,Fantasy,Movie,78
1979,Fantasy,TV Series,17
1979,Fantasy,Video Game,2
1979,Game-Show,TV Series,26
1979,History,Movie,50
1979,History,TV Series,10
1979,Horror,Movie,88
1979,Horror,TV Series,8
1979,Horror,Video Game,1
1979,Music,Movie,47
1979,Music,TV Series,32
1979,Musical,Movie,68
1979,Musical,TV Series,10
1979,Mystery,Movie,57
1979,Mystery,TV Series,10
1979,News,TV Series,19
1979,Reality-TV,TV Series,7
1979,Romance,Movie,236
1979,Romance,TV Series,38
1979,Sci-Fi,Movie,63
1979,Sci-Fi,TV Series,13
1979,Sci-Fi,Video Game,45
1979,Short,TV Series,2
1979,Sport,Movie,34
1979,Sport,TV Series,17
1979,Sport,Video Game,12
1979,Talk-Show,TV Series,30
1979,Thriller,Movie,104
1979,Thriller,TV Series,7
1979,War,Movie,66
1979,War,TV Series,2
1979,Western,Movie,28
1979,Western,TV Series,3
1980,,Movie,879
1980,,TV Series,86
1980,,Video Game,21
1980,Action,Movie,391
1980,Action,TV Series,15
1980,Action,Video Game,103
1980,Adult,Movie,220
1980,Adventure,Movie,135
1980,Adventure,TV Series,38
1980,Adventure,Video Game,4
1980,Animation,Movie,29
1980,Animation,TV Series,48
1980,Biography,Movie,44
1980,Biography,TV Series,4
1980,Comedy,Movie,609
1980,Comedy,TV Series,170
1980,Crime,Movie,192
1980,Crime,TV Series,23
1980,Crime,Video Game,1
1980,Documentary,Movie,353
1980,Documentary,TV Series,39
1980,Drama,Movie,1255
1980,Drama,TV Series,169
1980,Family,Movie,83
1980,Family,TV Series,98
1980,Family,Video Game,22
1980,Fantasy,Movie,70
1980,Fantasy,TV Series,7
1980,Fantasy,Video Game,7
1980,Game-Show,TV Series,23
1980,History,Movie,54
1980,History,TV Series,13
1980,History,Video Game,1
1980,Horror,Movie,131
1980,Horror,TV Series,3
1980,Music,Movie,48
1980,Music,TV Series,49
1980,Musical,Movie,86
1980,Musical,TV Series,5
1980,Mystery,Movie,60
1980,Mystery,TV Series,9
1980,News,Movie,1
1980,News,TV Series,26
1980,Reality-TV,TV Series,5
1980,Romance,Movie,231
1980,Romance,TV Series,55
1980,Sci-Fi,Movie,58
1980,Sci-Fi,TV Series,13
1980,Sci-Fi,Video Game,66
1980,Short,TV Series,2
1980,Sport,Movie,16
1980,Sport,TV Series,13
1980,Sport,Video Game,16
1980,Talk-Show,TV Series,54
1980,Thriller,Movie,151
1980,Thriller,TV Series,4
1980,Thriller,Video Game,1
1980,War,Movie,65
1980,War,TV Series,7
1980,War,Video Game,1
1980,Western,Movie,12
1980,Western,TV Series,1
1980,Western,Video Game,2
1981,,Movie,796
1981,,TV Series,103
1981,,Video Game,35
1981,Action,Movie,342
1981,Action,TV Series,21
1981,Action,Video Game,105
1981,Adult,Movie,286
1981,Adventure,Movie,159
1981,Adventure,TV Series,37
1981,Adventure,Video Game,15
1981,Animation,Movie,39
1981,Animation,TV Series,52
1981,Biography,Movie,47
1981,Biography,TV Series,5
1981,Comedy,Movie,627
1981,Comedy,TV Series,167
1981,Comedy,Video Game,1
1981,Crime,Movie,178
1981,Crime,TV Series,18
1981,Crime,Video Game,1
1981,Documentary,Movie,312
1981,Documentary,TV Series,40
1981,Drama,Movie,1250
1981,Drama,TV Series,164
1981,Family,Movie,113
1981,Family,TV Series,118
1981,Family,Video Game,46
1981,Fantasy,Movie,74
1981,Fantasy,TV Series,11
1981,Fantasy,Video Game,8
1981,Game-Show,TV Series,27
1981,History,Movie,58
1981,History,TV Series,21
1981,Horror,Movie,143
1981,Horror,TV Series,5
1981,Horror,Video Game,1
1981,Music,Movie,38
1981,Music,TV Series,53
1981,Musical,Movie,79
1981,Musical,TV Series,15
1981,Mystery,Movie,67
1981,Mystery,TV Series,10
1981,Mystery,Video Game,1
1981,News,TV Series,25
1981,Reality-TV,TV Series,2
1981,Romance,Movie,243
1981,Romance,TV Series,40
1981,Sci-Fi,Movie,47
1981,Sci-Fi,TV Series,15
1981,Sci-Fi,Video Game,67
1981,Short,TV Series,2
1981,Sport,Movie,15
1981,Sport,TV Series,17
1981,Sport,Video Game,22
1981,Talk-Show,Movie,1
1981,Talk-Show,TV Series,31
1981,Thriller,Movie,132
1981,Thriller,TV Series,8
1981,Thriller,Video Game,1
1981,War,Movie,67
1981,War,TV Series,6
1981,War,Video Game,4
1981,Western,Movie,13
1981,Western,TV Series,4
1982,,Movie,727
1982,,TV Series,126
1982,,Video Game,48
1982,Action,Movie,369
1982,Action,TV Series,13
1982,Action,Video Game,126
1982,Adult,Movie,218
1982,Adult,TV Series,1
1982,Adult,Video Game,2
1982,Adventure,Movie,142
1982,Adventure,TV Series,36
1982,Adventure,Video Game,42
1982,Animation,Movie,47
1982,Animation,TV Series,44
1982,Biography,Movie,39
1982,Biography,TV Series,4
1982,Comedy,Movie,622
1982,Comedy,TV Series,175
1982,Comedy,Video Game,1
1982,Crime,Movie,188
1982,Crime,TV Series,14
1982,Crime,Video Game,1
1982,Documentary,Movie,305
1982,Documentary,TV Series,64
1982,Drama,Movie,1275
1982,Drama,TV Series,169
1982,Family,Movie,128
1982,Family,TV Series,130
1982,Family,Video Game,89
1982,Fantasy,Movie,85
1982,Fantasy,TV Series,9
1982,Fantasy,Video Game,21
1982,Game-Show,TV Series,29
1982,History,Movie,43
1982,History,TV Series,11
1982,Horror,Movie,140
1982,Horror,TV Series,5
1982,Horror,Video Game,3
1982,Music,Movie,43
1982,Music,TV Series,40
1982,Musical,Movie,72
1982,Musical,TV Series,19
1982,Mystery,Movie,63
1982,Mystery,TV Series,8
1982,Mystery,Video Game,2
1982,News,TV Series,27
1982,Reality-TV,TV Series,6
1982,Romance,Movie,245
1982,Romance,TV Series,43
1982,Sci-Fi,Movie,54
1982,Sci-Fi,TV Series,12
1982,Sci-Fi,Video Game,53
1982,Short,TV Series,2
1982,Sport,Movie,18
1982,Sport,TV Series,15
1982,Sport,Video Game,20
1982,Talk-Show,TV Series,52
1982,Thriller,Movie,141
1982,Thriller,TV Series,4
1982,Thriller,Video Game,1
1982,War,Movie,58
1982,War,TV Series,5
1982,War,Video Game,3
1982,Western,Movie,13
1982,Western,Video Game,2
1983,,Movie,749
1983,,TV Series,111
1983,,Video Game,65
1983,Action,Movie,369
1983,Action,TV Series,27
1983,Action,Video Game,114
1983,Adult,Movie,307
1983,Adult,Video Game,1
1983,Adventure,Movie,146
1983,Adventure,TV Series,37
1983,Adventure,Video Game,43
1983,Animation,Movie,44
1983,Animation,TV Series,65
1983,Animation,Video Game,1
1983,Biography,Movie,40
1983,Biography,TV Series,9
1983,Comedy,Movie,618
1983,Comedy,TV Series,181
1983,Comedy,Video Game,5
1983,Crime,Movie,187
1983,Crime,TV Series,23
1983,Crime,Video Game,4
1983,Documentary,Movie,328
1983,Documentary,TV Series,65
1983,Drama,Movie,1302
1983,Drama,TV Series,199
1983,Family,Movie,108
1983,Family,TV Series,122
1983,Family,Video Game,72
1983,Fantasy,Movie,87
1983,Fantasy,TV Series,17
1983,Fantasy,Video Game,14
1983,Game-Show,TV Series,38
1983,History,Movie,50
1983,History,TV Series,19
1983,Horror,Movie,112
1983,Horror,TV Series,5
1983,Horror,Video Game,3
1983,Music,Movie,50
1983,Music,TV Series,60
1983,Musical,Movie,72
1983,Musical,TV Series,11
1983,Mystery,Movie,63
1983,Mystery,TV Series,8
1983,Mystery,Video Game,2
1983,News,TV Series,27
1983,Reality-TV,TV Series,8
1983,Romance,Movie,258
1983,Romance,TV Series,40
1983,Sci-Fi,Movie,66
1983,Sci-Fi,TV Series,17
1983,Sci-Fi,Video Game,58
1983,Short,TV Series,6
1983,Sport,Movie,24
1983,Sport,TV Series,18
1983,Sport,Video Game,28
1983,Talk-Show,TV Series,50
1983,Thriller,Movie,144
1983,Thriller,TV Series,5
1983,Thriller,Video Game,1
1983,War,Movie,79
1983,War,TV Series,12
1983,War,Video Game,5
1983,Western,Movie,10
1983,Western,Video Game,1
1984,,Movie,790
1984,,TV Series,107
1984,,Video Game,66
1984,Action,Movie,343
1984,Action,TV Series,36
1984,Action,Video Game,113
1984,Adult,Movie,373
1984,Adult,TV Series,1
1984,Adult,Video Game,1
1984,Adventure,Movie,147
1984,Adventure,TV Series,44
1984,Adventure,Video Game,36
1984,Animation,Movie,44
1984,Animation,TV Series,68
1984,Biography,Movie,48
1984,Biography,TV Series,6
1984,Comedy,Movie,636
1984,Comedy,TV Series,224
1984,Comedy,Video Game,7
1984,Crime,Movie,208
1984,Crime,TV Series,26
1984,Documentary,Movie,337
1984,Documentary,TV Series,65
1984,Drama,Movie,1303
1984,Drama,TV Series,190
1984,Family,Movie,125
1984,Family,TV Series,127
1984,Family,Video Game,42
1984,Fantasy,Movie,86
1984,Fantasy,TV Series,12
1984,Fantasy,Video Game,25
1984,Game-Show,TV Series,44
1984,Game-Show,Video Game,1
1984,History,Movie,47
1984,History,TV Series,14
1984,History,Video Game,1
1984,Horror,Movie,110
1984,Horror,TV Series,5
1984,Music,Movie,63
1984,Music,TV Series,47
1984,Musical,Movie,62
1984,Musical,TV Series,10
1984,Mystery,Movie,68
1984,Mystery,TV Series,10
1984,Mystery,Video Game,1
1984,News,TV Series,29
1984,Reality-TV,TV Series,5
1984,Romance,Movie,258
1984,Romance,TV Series,40
1984,Romance,Video Game,1
1984,Sci-Fi,Movie,74
1984,Sci-Fi,TV Series,22
1984,Sci-Fi,Video Game,41
1984,Short,TV Series,4
1984,Short,Video Game,1
1984,Sport,Movie,18
1984,Sport,TV Series,29
1984,Sport,Video Game,57
1984,Talk-Show,TV Series,40
1984,Thriller,Movie,159
1984,Thriller,TV Series,6
1984,War,Movie,56
1984,War,TV Series,4
1984,War,Video Game,5
1984,Western,Movie,7
1984,Western,TV Series,1
1984,Western,Video Game,4
1985,,Movie,777
1985,,TV Series,127
1985,,Video Game,63
1985,Action,Movie,378
1985,Action,TV Series,36
1985,Action,Video Game,94
1985,Adult,Movie,451
1985,Adventure,Movie,163
1985,Adventure,TV Series,45
1985,Adventure,Video Game,35
1985,Animation,Movie,45
1985,Animation,TV Series,67
1985,Biography,Movie,50
1985,Biography,TV Series,9
1985,Comedy,Movie,682
1985,Comedy,TV Series,190
1985,Comedy,Video Game,4
1985,Crime,Movie,222
1985,Crime,TV Series,37
1985,Crime,Video Game,3
1985,Documentary,Movie,347
1985,Documentary,TV Series,58
1985,Drama,Movie,1300
1985,Drama,TV Series,188
1985,Family,Movie,120
1985,Family,TV Series,125
1985,Family,Video Game,17
1985,Fantasy,Movie,99
1985,Fantasy,TV Series,19
1985,Fantasy,Video Game,22
1985,Game-Show,TV Series,35
1985,History,Movie,45
1985,History,TV Series,18
1985,Horror,Movie,121
1985,Horror,TV Series,7
1985,Horror,Video Game,2
1985,Music,Movie,49
1985,Music,TV Series,59
1985,Musical,Movie,64
1985,Musical,TV Series,7
1985,Mystery,Movie,66
1985,Mystery,TV Series,12
1985,Mystery,Video Game,3
1985,News,TV Series,30
1985,Reality-TV,Movie,1
1985,Reality-TV,TV Series,6
1985,Romance,Movie,284
1985,Romance,TV Series,38
1985,Sci-Fi,Movie,60
1985,Sci-Fi,TV Series,14
1985,Sci-Fi,Video Game,39
1985,Short,TV Series,3
1985,Sport,Movie,21
1985,Sport,TV Series,24
1985,Sport,Video Game,28
1985,Talk-Show,TV Series,49
1985,Thriller,Movie,148
1985,Thriller,TV Series,7
1985,War,Movie,81
1985,War,TV Series,4
1985,War,Video Game,7
1985,Western,Movie,12
1985,Western,TV Series,1
1985,Western,Video Game,2
1986,,Movie,704
1986,,TV Series,127
1986,,Video Game,70
1986,Action,Movie,433
1986,Action,TV Series,30
1986,Action,Video Game,120
1986,Adult,Movie,353
1986,Adult,Video Game,2
1986,Adventure,Movie,160
1986,Adventure,TV Series,43
1986,Adventure,Video Game,61
1986,Animation,Movie,60
1986,Animation,TV Series,78
1986,Biography,Movie,47
1986,Biography,TV Series,5
1986,Comedy,Movie,652
1986,Comedy,TV Series,214
1986,Comedy,Video Game,4
1986,Crime,Movie,243
1986,Crime,TV Series,28
1986,Crime,Video Game,9
1986,Documentary,Movie,317
1986,Documentary,TV Series,60
1986,Drama,Movie,1368
1986,Drama,TV Series,167
1986,Drama,Video Game,1
1986,Family,Movie,137
1986,Family,TV Series,129
1986,Family,Video Game,26
1986,Fantasy,Movie,93
1986,Fantasy,TV Series,10
1986,Fantasy,Video Game,39
1986,Game-Show,TV Series,38
1986,History,Movie,37
1986,History,TV Series,10
1986,Horror,Movie,144
1986,Horror,TV Series,7
1986,Horror,Video Game,5
1986,Music,Movie,52
1986,Music,TV Series,51
1986,Music,Video Game,3
1986,Musical,Movie,52
1986,Musical,TV Series,8
1986,Mystery,Movie,58
1986,Mystery,TV Series,9
1986,Mystery,Video Game,5
1986,News,TV Series,34
1986,Reality-TV,TV Series,4
1986,Romance,Movie,265
1986,Romance,TV Series,31
1986,Sci-Fi,Movie,80
1986,Sci-Fi,TV Series,12
1986,Sci-Fi,Video Game,49
1986,Short,TV Series,4
1986,Sport,Movie,30
1986,Sport,TV Series,16
1986,Sport,Video Game,44
1986,Talk-Show,TV Series,61
1986,Thriller,Movie,175
1986,Thriller,TV Series,6
1986,War,Movie,71
1986,War,TV Series,4
1986,War,Video Game,5
1986,Western,Movie,16
1986,Western,TV Series,1
1986,Western,Video Game,2
1987,,Movie,711
1987,,TV Series,128
1987,,Video Game,57
1987,Action,Movie,477
1987,Action,TV Series,34
1987,Action,Video Game,129
1987,Adult,Movie,299
1987,Adult,Video Game,2
1987,Adventure,Movie,173
1987,Adventure,TV Series,43
1987,Adventure,Video Game,51
1987,Animation,Movie,48
1987,Animation,TV Series,72
1987,Biography,Movie,45
1987,Biography,TV Series,15
1987,Comedy,Movie,674
1987,Comedy,TV Series,245
1987,Comedy,Video Game,6
1987,Crime,Movie,269
1987,Crime,TV Series,28
1987,Crime,Video Game,3
1987,Documentary,Movie,300
1987,Documentary,TV Series,75
1987,Drama,Movie,1434
1987,Drama,TV Series,203
1987,Family,Movie,122
1987,Family,TV Series,128
1987,Family,Video Game,16
1987,Fantasy,Movie,109
1987,Fantasy,TV Series,19
1987,Fantasy,Video Game,38
1987,Game-Show,TV Series,41
1987,History,Movie,52
1987,History,TV Series,17
1987,History,Video Game,1
1987,Horror,Movie,188
1987,Horror,TV Series,3
1987,Music,Movie,49
1987,Music,TV Series,49
1987,Music,Video Game,1
1987,Musical,Movie,59
1987,Musical,TV Series,12
1987,Mystery,Movie,76
1987,Mystery,TV Series,14
1987,Mystery,Video Game,4
1987,News,TV Series,32
1987,Reality-TV,TV Series,8
1987,Romance,Movie,247
1987,Romance,TV Series,44
1987,Sci-Fi,Movie,83
1987,Sci-Fi,TV Series,17
1987,Sci-Fi,Video Game,50
1987,Short,TV Series,3
1987,Sport,Movie,16
1987,Sport,TV Series,19
1987,Sport,Video Game,43
1987,Talk-Show,TV Series,76
1987,Thriller,Movie,209
1987,Thriller,TV Series,8
1987,Thriller,Video Game,2
1987,War,Movie,68
1987,War,TV Series,9
1987,War,Video Game,4
1987,Western,Movie,10
1987,Western,Video Game,1
1988,,Movie,718
1988,,TV Series,154
1988,,Video Game,60
1988,Action,Movie,532
1988,Action,TV Series,23
1988,Action,Video Game,132
1988,Adult,Movie,293
1988,Adult,Video Game,1
1988,Adventure,Movie,157
1988,Adventure,TV Series,28
1988,Adventure,Video Game,66
1988,Animation,Movie,37
1988,Animation,TV Series,57
1988,Animation,Video Game,1
1988,Biography,Movie,56
1988,Biography,TV Series,7
1988,Comedy,Movie,676
1988,Comedy,TV Series,224
1988,Comedy,Video Game,6
1988,Crime,Movie,258
1988,Crime,TV Series,30
1988,Crime,Video Game,8
1988,Documentary,Movie,344
1988,Documentary,TV Series,94
1988,Drama,Movie,1383
1988,Drama,TV Series,158
1988,Drama,Video Game,1
1988,Family,Movie,88
1988,Family,TV Series,111
1988,Family,Video Game,24
1988,Fantasy,Movie,122
1988,Fantasy,TV Series,15
1988,Fantasy,Video Game,39
1988,Game-Show,TV Series,57
1988,Game-Show,Video Game,1
1988,History,Movie,45
1988,History,TV Series,16
1988,History,Video Game,1
1988,Horror,Movie,223
1988,Horror,TV Series,12
1988,Horror,Video Game,5
1988,Music,Movie,56
1988,Music,TV Series,52
1988,Musical,Movie,61
1988,Musical,TV Series,5
1988,Mystery,Movie,87
1988,Mystery,TV Series,10
1988,Mystery,Video Game,5
1988,News,TV Series,43
1988,Reality-TV,TV Series,6
1988,Romance,Movie,287
1988,Romance,TV Series,34
1988,Romance,Video Game,1
1988,Sci-Fi,Movie,95
1988,Sci-Fi,TV Series,14
1988,Sci-Fi,Video Game,49
1988,Short,TV Series,10
1988,Sport,Movie,23
1988,Sport,TV Series,18
1988,Sport,Video Game,47
1988,Talk-Show,TV Series,49
1988,Thriller,Movie,230
1988,Thriller,TV Series,9
1988,Thriller,Video Game,2
1988,War,Movie,73
1988,War,TV Series,7
1988,War,Video Game,8
1988,Western,Movie,6
1988,Western,TV Series,1
1988,Western,Video Game,1
1989,,Movie,682
1989,,TV Series,186
1989,,Video Game,82
1989,Action,Movie,544
1989,Action,TV Series,30
1989,Action,Video Game,142
1989,Adult,Movie,356
1989,Adult,Video Game,3
1989,Adventure,Movie,160
1989,Adventure,TV Series,45
1989,Adventure,Video Game,74
1989,Animation,Movie,32
1989,Animation,TV Series,63
1989,Animation,Video Game,2
1989,Biography,Movie,52
1989,Biography,TV Series,7
1989,Comedy,Movie,713
1989,Comedy,TV Series,265
1989,Comedy,Video Game,8
1989,Crime,Movie,295
1989,Crime,TV Series,35
1989,Crime,Video Game,10
1989,Documentary,Movie,346
1989,Documentary,TV Series,89
1989,Drama,Movie,1353
1989,Drama,TV Series,192
1989,Drama,Video Game,1
1989,Family,Movie,99
1989,Family,TV Series,140
1989,Family,Video Game,21
1989,Fantasy,Movie,111
1989,Fantasy,TV Series,21
1989,Fantasy,Video Game,40
1989,Game-Show,TV Series,55
1989,Game-Show,Video Game,2
1989,History,Movie,56
1989,History,TV Series,11
1989,History,Video Game,1
1989,Horror,Movie,230
1989,Horror,TV Series,5
1989,Horror,Video Game,10
1989,Music,Movie,46
1989,Music,TV Series,46
1989,Music,Video Game,1
1989,Musical,Movie,34
1989,Musical,TV Series,12
1989,Mystery,Movie,88
1989,Mystery,TV Series,15
1989,Mystery,Video Game,1
1989,News,TV Series,48
1989,Reality-TV,TV Series,7
1989,Romance,Movie,263
1989,Romance,TV Series,30
1989,Sci-Fi,Movie,84
1989,Sci-Fi,TV Series,12
1989,Sci-Fi,Video Game,58
1989,Short,TV Series,5
1989,Sport,Movie,17
1989,Sport,TV Series,20
1989,Sport,Video Game,48
1989,Talk-Show,TV Series,56
1989,Thriller,Movie,261
1989,Thriller,TV Series,11
1989,Thriller,Video Game,4
1989,War,Movie,75
1989,War,TV Series,5
1989,War,Video Game,7
1989,Western,Movie,8
1989,Western,TV Series,2
1990,,Movie,945
1990,,TV Series,192
1990,,Video Game,76
1990,Action,Movie,585
1990,Action,TV Series,30
1990,Action,Video Game,153
1990,Adult,Movie,445
1990,Adult,Video Game,2
1990,Adventure,Movie,133
1990,Adventure,TV Series,48
1990,Adventure,Video Game,94
1990,Animation,Movie,34
1990,Animation,TV Series,80
1990,Animation,Video Game,2
1990,Biography,Movie,43
1990,Biography,TV Series,14
1990,Comedy,Movie,698
1990,Comedy,TV Series,307
1990,Comedy,Video Game,10
1990,Crime,Movie,311
1990,Crime,TV Series,31
1990,Crime,Video Game,5
1990,Documentary,Movie,343
1990,Documentary,TV Series,100
1990,Drama,Movie,1316
1990,Drama,TV Series,218
1990,Drama,Video Game,2
1990,Family,Movie,95
1990,Family,TV Series,150
1990,Family,Video Game,43
1990,Fantasy,Movie,109
1990,Fantasy,TV Series,24
1990,Fantasy,Video Game,49
1990,Game-Show,TV Series,68
1990,Game-Show,Video Game,2
1990,History,Movie,47
1990,History,TV Series,16
1990,History,Video Game,1
1990,Horror,Movie,198
1990,Horror,TV Series,8
1990,Horror,Video Game,5
1990,Music,Movie,34
1990,Music,TV Series,59
1990,Music,Video Game,1
1990,Musical,Movie,38
1990,Musical,TV Series,18
1990,Mystery,Movie,75
1990,Mystery,TV Series,17
1990,Mystery,Video Game,2
1990,News,TV Series,49
1990,Reality-TV,TV Series,15
1990,Romance,Movie,251
1990,Romance,TV Series,43
1990,Sci-Fi,Movie,75
1990,Sci-Fi,TV Series,17
1990,Sci-Fi,Video Game,60
1990,Short,TV Series,2
1990,Sport,Movie,18
1990,Sport,TV Series,28
1990,Sport,Video Game,48
1990,Talk-Show,TV Series,72
1990,Thriller,Movie,255
1990,Thriller,TV Series,3
1990,Thriller,Video Game,6
1990,War,Movie,61
1990,War,TV Series,3
1990,War,Video Game,11
1990,Western,Movie,10
1990,Western,Video Game,2
1991,,Movie,862
1991,,TV Series,170
1991,,Video Game,98
1991,Action,Movie,526
1991,Action,TV Series,31
1991,Action,Video Game,142
1991,Adult,Movie,120
1991,Adult,TV Series,1
1991,Adult,Video Game,5
1991,Adventure,Movie,124
1991,Adventure,TV Series,53
1991,Adventure,Video Game,94
1991,Animation,Movie,50
1991,Animation,TV Series,89
1991,Animation,Video Game,3
1991,Biography,Movie,54
1991,Biography,TV Series,6
1991,Comedy,Movie,693
1991,Comedy,TV Series,297
1991,Comedy,Video Game,17
1991,Crime,Movie,257
1991,Crime,TV Series,34
1991,Crime,Video Game,11
1991,Documentary,Movie,421
1991,Documentary,TV Series,106
1991,Documentary,Video Game,1
1991,Drama,Movie,1322
1991,Drama,TV Series,178
1991,Drama,Video Game,1
1991,Family,Movie,90
1991,Family,TV Series,137
1991,Family,Video Game,39
1991,Fantasy,Movie,137
1991,Fantasy,TV Series,18
1991,Fantasy,Video Game,41
1991,Game-Show,TV Series,49
1991,History,Movie,57
1991,History,TV Series,27
1991,History,Video Game,2
1991,Horror,Movie,149
1991,Horror,TV Series,6
1991,Horror,Video Game,3
1991,Music,Movie,50
1991,Music,TV Series,54
1991,Musical,Movie,43
1991,Musical,TV Series,22
1991,Mystery,Movie,80
1991,Mystery,TV Series,19
1991,Mystery,Video Game,5
1991,News,Movie,1
1991,News,TV Series,34
1991,Reality-TV,TV Series,14
1991,Romance,Movie,286
1991,Romance,TV Series,41
1991,Romance,Video Game,1
1991,Sci-Fi,Movie,70
1991,Sci-Fi,TV Series,17
1991,Sci-Fi,Video Game,66
1991,Short,TV Series,3
1991,Sport,Movie,15
1991,Sport,TV Series,17
1991,Sport,Video Game,51
1991,Talk-Show,TV Series,89
1991,Thriller,Movie,226
1991,Thriller,TV Series,9
1991,Thriller,Video Game,3
1991,War,Movie,53
1991,War,TV Series,3
1991,War,Video Game,7
1991,Western,Movie,13
1991,Western,TV Series,1
1991,Western,Video Game,2
1992,,Movie,902
1992,,TV Series,197
1992,,Video Game,59
1992,Action,Movie,508
1992,Action,TV Series,29
1992,Action,Video Game,178
1992,Adult,Movie,115
1992,Adult,TV Series,1
1992,Adult,Video Game,7
1992,Adventure,Movie,105
1992,Adventure,TV Series,51
1992,Adventure,Video Game,117
1992,Animation,Movie,35
1992,Animation,TV Series,81
1992,Animation,Video Game,1
1992,Biography,Movie,46
1992,Biography,TV Series,3
1992,Biography,Video Game,1
1992,Comedy,Movie,691
1992,Comedy,TV Series,319
1992,Comedy,Video Game,22
1992,Crime,Movie,268
1992,Crime,TV Series,43
1992,Crime,Video Game,12
1992,Documentary,Movie,445
1992,Documentary,TV Series,121
1992,Documentary,Video Game,1
1992,Drama,Movie,1238
1992,Drama,TV Series,226
1992,Drama,Video Game,3
1992,Family,Movie,74
1992,Family,TV Series,139
1992,Family,Video Game,31
1992,Fantasy,Movie,91
1992,Fantasy,TV Series,27
1992,Fantasy,Video Game,61
1992,Game-Show,TV Series,65
1992,Game-Show,Video Game,1
1992,History,Movie,52
1992,History,TV Series,11
1992,History,Video Game,2
1992,Horror,Movie,137
1992,Horror,TV Series,5
1992,Horror,Video Game,11
1992,Music,Movie,53
1992,Music,TV Series,62
1992,Music,Video Game,3
1992,Musical,Movie,36
1992,Musical,TV Series,10
1992,Mystery,Movie,68
1992,Mystery,TV Series,19
1992,Mystery,Video Game,8
1992,News,TV Series,71
1992,Reality-TV,TV Series,15
1992,Romance,Movie,327
1992,Romance,TV Series,43
1992,Romance,Video Game,2
1992,Sci-Fi,Movie,59
1992,Sci-Fi,TV Series,10
1992,Sci-Fi,Video Game,60
1992,Short,TV Series,4
1992,Sport,Movie,24
1992,Sport,TV Series,35
1992,Sport,Video Game,45
1992,Talk-Show,TV Series,113
1992,Thriller,Movie,237
1992,Thriller,TV Series,16
1992,Thriller,Video Game,1
1992,War,Movie,44
1992,War,TV Series,1
1992,War,Video Game,7
1992,Western,Movie,10
1992,Western,TV Series,3
1992,Western,Video Game,3
1993,,Movie,920
1993,,TV Series,239
1993,,Video Game,84
1993,Action,Movie,457
1993,Action,TV Series,40
1993,Action,Video Game,181
1993,Adult,Movie,117
1993,Adult,TV Series,1
1993,Adult,Video Game,3
1993,Adventure,Movie,107
1993,Adventure,TV Series,61
1993,Adventure,Video Game,152
1993,Animation,Movie,39
1993,Animation,TV Series,73
1993,Animation,Video Game,2
1993,Biography,Movie,74
1993,Biography,TV Series,6
1993,Comedy,Movie,628
1993,Comedy,TV Series,325
1993,Comedy,Video Game,23
1993,Crime,Movie,284
1993,Crime,TV Series,50
1993,Crime,Video Game,13
1993,Documentary,Movie,414
1993,Documentary,TV Series,135
1993,Documentary,Video Game,2
1993,Drama,Movie,1263
1993,Drama,TV Series,227
1993,Drama,Video Game,3
1993,Family,Movie,103
1993,Family,TV Series,133
1993,Family,Video Game,58
1993,Fantasy,Movie,96
1993,Fantasy,TV Series,16
1993,Fantasy,Video Game,72
1993,Game-Show,TV Series,63
1993,History,Movie,55
1993,History,TV Series,21
1993,History,Video Game,4
1993,Horror,Movie,119
1993,Horror,TV Series,2
1993,Horror,Video Game,11
1993,Music,Movie,54
1993,Music,TV Series,67
1993,Music,Video Game,2
1993,Musical,Movie,41
1993,Musical,TV Series,10
1993,Mystery,Movie,63
1993,Mystery,TV Series,18
1993,Mystery,Video Game,19
1993,News,TV Series,63
1993,Reality-TV,TV Series,16
1993,Romance,Movie,307
1993,Romance,TV Series,52
1993,Romance,Video Game,1
1993,Sci-Fi,Movie,58
1993,Sci-Fi,TV Series,19
1993,Sci-Fi,Video Game,67
1993,Short,TV Series,3
1993,Short,Video Game,2
1993,Sport,Movie,17
1993,Sport,TV Series,28
1993,Sport,Video Game,40
1993,Talk-Show,TV Series,111
1993,Thriller,Movie,263
1993,Thriller,TV Series,9
1993,Thriller,Video Game,2
1993,War,Movie,48
1993,War,TV Series,3
1993,War,Video Game,9
1993,Western,Movie,11
1993,Western,TV Series,3
1993,Western,Video Game,2
1994,,Movie,836
1994,,TV Series,243
1994,,Video Game,73
1994,Action,Movie,472
